CustomerID,Lookalikes
C0001,"[('C0120', 0.88), ('C0181', 0.84), ('C0184', 0.81)]"
C0002,"[('C0159', 0.98), ('C0178', 0.97), ('C0134', 0.86)]"
C0003,"[('C0031', 0.91), ('C0133', 0.87), ('C0158', 0.85)]"
C0004,"[('C0012', 0.94), ('C0113', 0.92), ('C0148', 0.86)]"
C0005,"[('C0007', 0.99), ('C0140', 0.97), ('C0128', 0.89)]"
C0006,"[('C0187', 0.87), ('C0048', 0.81), ('C0107', 0.79)]"
C0007,"[('C0005', 0.99), ('C0140', 0.93), ('C0146', 0.89)]"
C0008,"[('C0109', 0.84), ('C0194', 0.81), ('C0098', 0.8)]"
C0009,"[('C0198', 0.99), ('C0060', 0.93), ('C0014', 0.93)]"
C0010,"[('C0111', 0.9), ('C0062', 0.82), ('C0044', 0.79)]"
C0011,"[('C0107', 0.91), ('C0190', 0.89), ('C0126', 0.84)]"
C0012,"[('C0113', 0.94), ('C0004', 0.94), ('C0148', 0.92)]"
C0013,"[('C0099', 0.94), ('C0188', 0.87), ('C0165', 0.81)]"
C0014,"[('C0060', 1.0), ('C0198', 0.95), ('C0009', 0.93)]"
C0015,"[('C0058', 0.95), ('C0131', 0.93), ('C0036', 0.93)]"
C0016,"[('C0117', 0.96), ('C0029', 0.82), ('C0042', 0.81)]"
C0017,"[('C0075', 0.95), ('C0057', 0.87), ('C0041', 0.87)]"
C0018,"[('C0068', 0.9), ('C0122', 0.88), ('C0125', 0.8)]"
C0019,"[('C0070', 0.91), ('C0064', 0.85), ('C0132', 0.75)]"
C0020,"[('C0058', 0.96), ('C0033', 0.94), ('C0015', 0.91)]"
